Transaction_ID,Registration_ID,Amount_Paid_GHS,Payment_Timestamp,Payment_Channel
TXN-00000144,GE-6641-20,636.59,2024-12-02 17:08:42,MTN MoMo
TXN-00031641,VR-4372-24,309.17,2025-08-29 03:53:41,e-Levy Portal
TXN-00006773,GN-5211-17,478.05,2024-04-17 12:49:51,MTN MoMo
TXN-00024451,UW-7667-18,439.44,2023-04-20 16:15:00,e-Levy Portal
TXN-00047318,UW-9696-17,209.56,2023-03-18 09:36:36,MTN MoMo
TXN-00007611,CR-7419-22,285.66,2024-04-29 17:49:32,MTN MoMo
TXN-00008019,AS-1586-15,456.79,2025-02-26 04:47:30,Bank Branch
TXN-00038036,GR-7846-15,190.25,2024-11-17 18:11:38,MTN MoMo
TXN-00044649,GE-4779-22,323.13,2020-05-19 00:01:18,MTN MoMo
TXN-00004878,GX-4031-21,373.86,2023-02-12 17:32:06,Bank Branch
TXN-00046781,WR-8372-18,421.94,2024-05-30 14:42:52,AT Money
TXN-00003030,GW-0621-21,189.58,2024-04-12 15:07:53,MTN MoMo
TXN-00003027,GX-5160-16,51.27,2022-07-20 20:19:37,AT Money
TXN-00039633,GA-4940-15,351.18,2024-03-27 03:35:34,MTN MoMo
TXN-00046475,WR-8938-16,244.33,2021-05-26 12:46:46,MTN MoMo
TXN-00039146,GR-2397-18,292.13,2022-02-17 22:54:24,Telecel Cash
TXN-00008045,UE-9323-16,188.03,2020-12-24 11:14:23,Telecel Cash
TXN-00012240,AS-3627-17,456.1,2022-11-04 17:21:25,MTN MoMo
TXN-00043491,WR-9543-18,396.06,2022-07-27 16:38:17,e-Levy Portal
TXN-00035858,GA-9484-21,322.03,2025-08-05 21:20:55,Bank Branch
TXN-00012361,BA-7571-25,-97.2,2022-07-08 22:22:04,e-Levy Portal
TXN-00040897,GT-8878-15,545.81,2024-10-17 12:03:43,MTN MoMo
TXN-00039538,ORPHAN-97886-XX,329.34,2022-12-13 21:00:40,MTN MoMo
TXN-00006053,NR-9757-24,189.17,2024-08-12 23:21:39,MTN MoMo
TXN-00007477,BA-6972-21,403.11,2022-06-24 04:32:18,e-Levy Portal
TXN-00014412,ER-7445-22,571.03,2025-07-08 04:23:17,e-Levy Portal
TXN-00018478,ER-1829-20,572.14,2025-09-03 20:30:57,MTN MoMo
TXN-00001577,GR-2221-23,254.35,2020-08-17 22:30:20,e-Levy Portal
TXN-00041247,GB-2580-19,491.05,2021-06-06 05:05:04,Bank Branch
TXN-00015195,VR-2587-24,576.67,2022-04-03 00:23:42,MTN MoMo
TXN-00032261,GR-3590-15,354.53,2024-03-27 09:21:28,MTN MoMo
TXN-00028634,ORPHAN-95556-XX,476.43,2025-05-05 01:24:28,AT Money
TXN-00016770,VR-3348-20,313.12,2023-02-15 04:29:06,MTN MoMo
TXN-00047759,WR-7430-20,289.25,2022-05-14 07:58:53,MTN MoMo
TXN-00025419,UW-2620-21,330.53,2025-05-28 01:56:33,e-Levy Portal
TXN-00008220,ORPHAN-97369-XX,320.2,2020-05-16 22:19:46,Bank Branch
TXN-00045720,GR-8836-24,499.5,2021-05-15 19:54:06,Telecel Cash
TXN-00022717,GN-7334-25,488.23,2023-09-30 19:24:01,MTN MoMo
TXN-00015925,ER-8069-19,501.34,2022-07-14 23:19:53,MTN MoMo
TXN-00047695,WR-9845-20,50.0,2025-09-24 01:41:45,AT Money
TXN-00023020,GS-6125-22,352.4,2023-03-13 05:15:56,Bank Branch
TXN-00000746,GE-2595-21,496.64,2021-04-13 13:07:07,Telecel Cash
TXN-00034520,ORPHAN-95650-XX,353.69,2023-07-13 20:22:11,AT Money
TXN-00025795,CR-5095-24,187.26,2022-04-21 16:35:01,e-Levy Portal
TXN-00021226,UW-9951-21,214.34,2024-02-18 17:33:10,MTN MoMo
TXN-00032031,GB-3474-23,324.32,2020-08-20 15:21:51,MTN MoMo
TXN-00048087,GB-7245-17,368.03,2020-04-24 04:25:59,Telecel Cash
TXN-00040187,UW-0792-23,381.87,2023-03-03 13:25:05,Bank Branch
TXN-00040046,GS-3208-25,482.47,2023-08-31 02:40:27,Bank Branch
TXN-00009827,BA-4601-23,562.41,2023-01-04 20:55:37,MTN MoMo
TXN-00012266,GC-9914-17,418.6,2020-01-05 00:15:16,Telecel Cash
TXN-00031221,UE-3280-17,234.91,2025-06-23 08:24:28,MTN MoMo
TXN-00007810,GB-5679-17,220.91,2025-02-11 13:48:25,MTN MoMo
TXN-00023442,GC-6851-19,336.5,2020-03-16 09:07:21,MTN MoMo
TXN-00019547,UE-0329-23,535.43,2023-07-06 08:54:05,e-Levy Portal
TXN-00029065,GT-0277-22,346.81,2022-09-14 21:33:01,AT Money
TXN-00014743,GE-1703-24,711.63,2021-07-16 02:27:03,Bank Branch
TXN-00033166,ER-2553-15,568.84,2025-06-02 19:55:16,Bank Branch
TXN-00035649,VR-9697-23,397.94,2022-12-19 17:20:43,Telecel Cash
TXN-00013440,GA-7853-17,748.08,2022-10-22 12:47:42,AT Money
TXN-00011330,WR-7840-16,363.28,2024-08-07 05:44:36,MTN MoMo
TXN-00034375,AS-9816-20,401.35,2022-12-27 21:07:06,Telecel Cash
TXN-00049460,BA-8675-20,169.72,2020-03-01 16:05:51,e-Levy Portal
TXN-00032200,ER-7590-19,597.09,2025-01-01 10:49:32,Bank Branch
TXN-00043348,GA-5805-18,279.03,2020-01-23 19:37:06,Bank Branch
TXN-00047155,GW-6968-25,441.17,2025-04-07 00:19:38,e-Levy Portal
TXN-00020530,UW-4025-19,567.81,2025-11-13 09:14:51,Bank Branch
TXN-00008383,UW-2658-18,383.7,2024-02-14 19:09:22,Telecel Cash
TXN-00026246,GB-5246-24,480.13,2024-07-01 19:59:07,AT Money
TXN-00001989,GN-8081-20,612.94,2020-04-14 12:26:57,MTN MoMo
TXN-00035939,NR-2490-18,165.3,2020-06-14 10:40:53,Bank Branch
TXN-00009372,UW-8954-21,378.36,2024-12-31 04:31:39,AT Money
TXN-00029858,NR-3926-21,89.28,2022-06-15 03:35:58,Telecel Cash
TXN-00040519,GX-0784-19,290.62,2020-02-18 03:44:52,Bank Branch
TXN-00037767,GX-1172-21,461.34,2020-02-26 15:34:46,MTN MoMo
TXN-00024729,GA-3008-23,269.71,2021-11-08 07:17:26,Telecel Cash
TXN-00010130,GX-7404-22,472.91,2023-05-26 06:59:02,Bank Branch
TXN-00017201,UE-8908-16,709.13,2023-08-26 23:32:23,e-Levy Portal
TXN-00006220,WR-0332-21,112.74,2022-09-22 21:53:20,Bank Branch
TXN-00026490,UE-6860-19,245.15,2020-11-19 07:42:16,e-Levy Portal
TXN-00007802,GC-3907-21,341.5,2021-10-13 13:08:01,MTN MoMo
TXN-00035170,BA-8148-25,451.54,2022-03-27 05:19:48,e-Levy Portal
TXN-00003704,WR-2537-19,217.17,2022-03-29 13:18:09,AT Money
TXN-00039667,GR-8406-22,610.02,2024-07-01 21:35:31,MTN MoMo
TXN-00015614,GE-4193-25,500.76,2021-07-17 15:44:46,AT Money
TXN-00011326,GN-2134-23,469.15,2022-10-22 22:59:17,MTN MoMo
TXN-00004080,ORPHAN-92386-XX,151.39,2022-10-05 13:56:23,MTN MoMo
TXN-00034304,GS-6982-22,255.7,2021-05-18 11:08:54,Bank Branch
TXN-00025232,GB-8164-16,291.52,2025-05-18 16:46:08,Bank Branch
TXN-00049139,GR-5702-16,596.92,2022-06-04 09:00:48,e-Levy Portal
TXN-00011278,ER-1066-16,230.06,2022-01-07 14:50:41,Bank Branch
TXN-00017498,WR-0852-17,529.12,2020-12-06 22:28:06,e-Levy Portal
TXN-00032441,GT-5892-21,534.13,2023-01-15 16:13:13,AT Money
TXN-00026336,GB-6063-19,442.45,2020-06-03 20:52:53,e-Levy Portal
TXN-00011564,ER-8267-16,340.59,2021-08-02 21:23:58,Bank Branch
TXN-00006608,ORPHAN-94609-XX,315.16,2023-01-10 20:55:56,MTN MoMo
TXN-00002170,GE-8182-24,160.06,2020-03-21 19:54:14,Telecel Cash
TXN-00011532,GE-2870-20,599.55,2023-02-16 19:57:39,e-Levy Portal
TXN-00025898,GR-2658-15,345.66,2020-07-24 02:20:08,MTN MoMo
TXN-00035279,AS-1562-23,662.41,2025-11-06 13:12:04,MTN MoMo
TXN-00004256,AS-9447-18,251.38,2020-09-25 18:15:44,MTN MoMo
TXN-00001857,AS-5941-24,452.46,2024-04-20 02:33:47,e-Levy Portal
TXN-00022346,GB-3303-20,0.0,2024-04-20 02:16:19,Telecel Cash
TXN-00048751,GT-9368-15,417.05,2023-07-27 13:40:32,Telecel Cash
TXN-00005764,GW-0867-17,391.47,2021-09-03 11:49:03,e-Levy Portal
TXN-00023949,GN-6964-21,327.32,2025-07-17 10:04:18,MTN MoMo
TXN-00003353,AS-1261-18,143.67,2025-08-14 16:11:01,e-Levy Portal
TXN-00042494,VR-3802-19,638.07,2025-05-20 20:00:39,MTN MoMo
TXN-00030852,GS-5352-17,480.59,2020-03-08 08:42:43,Bank Branch
TXN-00034186,AS-3138-19,391.81,2020-09-17 02:43:51,MTN MoMo
TXN-00002149,ER-1624-24,439.77,2020-07-23 19:08:09,Bank Branch
TXN-00028929,GR-3019-21,512.65,2024-02-22 14:30:01,MTN MoMo
TXN-00021939,WR-0469-15,188.18,2022-10-04 06:11:25,AT Money
TXN-00003881,GB-4520-23,245.21,2020-09-20 12:47:06,MTN MoMo
TXN-00037532,GW-9649-20,50.0,2021-04-23 02:15:53,Bank Branch
TXN-00022367,UE-6786-21,310.44,2022-02-13 09:29:43,Bank Branch
TXN-00028966,GX-3348-25,439.76,2023-03-13 09:59:13,Telecel Cash
TXN-00010386,UW-7093-18,325.58,2024-11-21 18:37:09,e-Levy Portal
TXN-00009089,VR-5813-17,228.61,2022-12-20 21:43:04,Bank Branch
TXN-00001810,NR-7974-21,126.63,2023-03-08 08:13:35,Telecel Cash
TXN-00032597,GA-5652-22,412.74,2021-12-27 15:19:56,e-Levy Portal
TXN-00033696,BA-9835-17,119.96,2020-07-27 16:43:31,Bank Branch
TXN-00038433,GN-8353-23,401.47,2023-03-23 21:51:15,Telecel Cash
TXN-00012643,GC-5929-23,195.49,2022-08-02 08:27:10,Telecel Cash
TXN-00049590,BA-2243-22,275.46,2023-07-05 00:45:11,MTN MoMo
TXN-00015169,GC-3560-15,302.78,2025-06-10 09:55:58,MTN MoMo
TXN-00016561,ORPHAN-93223-XX,385.75,2025-03-19 04:30:49,e-Levy Portal
TXN-00036112,WR-2868-25,249.41,2020-07-24 13:18:36,Bank Branch
TXN-00006787,GX-2941-19,470.08,2022-04-23 14:44:56,Telecel Cash
TXN-00036752,ORPHAN-99061-XX,336.7,2020-08-05 00:51:35,e-Levy Portal
TXN-00024045,GA-8073-21,266.69,2023-07-18 12:58:17,Telecel Cash
TXN-00024529,VR-7651-25,377.8,2025-10-31 10:22:50,e-Levy Portal
TXN-00033404,GW-7222-17,389.18,2021-03-22 11:36:04,AT Money
TXN-00032012,GE-5745-25,262.1,2020-07-02 01:48:53,MTN MoMo
TXN-00041295,GT-0616-22,432.32,2023-10-21 12:43:52,AT Money
TXN-00015174,ORPHAN-92015-XX,524.75,2025-06-29 21:12:11,MTN MoMo
TXN-00029380,GS-3571-21,-244.8,2021-12-19 00:03:11,Telecel Cash
TXN-00025829,GN-3442-19,130.07,2024-02-27 15:43:48,MTN MoMo
TXN-00044509,ORPHAN-93928-XX,421.81,2024-01-21 15:50:00,e-Levy Portal
TXN-00021677,AS-4331-16,317.35,2024-07-15 11:41:36,Bank Branch
TXN-00028676,NR-2290-22,349.52,2021-01-26 00:10:28,Bank Branch
TXN-00013445,GC-4429-25,0.0,2023-05-10 05:27:57,Bank Branch
TXN-00046691,ER-9341-24,373.93,2025-10-29 01:17:39,Telecel Cash
TXN-00005813,CR-6315-18,569.92,2025-12-30 17:40:03,MTN MoMo
TXN-00024885,ORPHAN-93163-XX,273.2,2024-10-07 07:01:28,e-Levy Portal
TXN-00032779,GC-6029-15,234.74,2023-05-11 08:59:57,MTN MoMo
TXN-00008926,GB-4450-16,575.59,2023-06-26 21:17:57,AT Money
TXN-00026983,GN-8579-23,385.88,2023-11-22 15:28:47,e-Levy Portal
TXN-00005826,AS-3675-15,226.43,2025-09-06 04:52:03,Bank Branch
TXN-00036342,WR-4583-25,515.93,2022-07-14 05:29:27,e-Levy Portal
TXN-00027500,GN-6958-15,252.66,2023-03-26 16:35:22,Telecel Cash
TXN-00027492,ORPHAN-97762-XX,108.62,2021-02-03 08:06:12,e-Levy Portal
TXN-00015638,CR-4619-17,194.45,2023-01-14 05:05:21,AT Money
TXN-00030750,NR-0779-17,354.01,2025-01-10 19:10:06,Telecel Cash
TXN-00006840,GC-1114-16,187.9,2025-09-25 15:26:02,Bank Branch
TXN-00023043,GR-8073-24,435.88,2024-10-11 17:55:46,Telecel Cash
TXN-00041021,AS-1427-19,128.18,2025-06-03 19:30:31,Telecel Cash
TXN-00027228,GN-3187-25,365.13,2024-09-10 21:33:49,e-Levy Portal
TXN-00034191,AS-0729-21,559.92,2024-10-15 02:29:55,AT Money
TXN-00019916,GB-0389-23,357.01,2022-03-24 20:15:18,Bank Branch
TXN-00030870,GB-3632-21,427.62,2021-01-05 09:14:45,MTN MoMo
TXN-00015825,GC-6953-23,433.68,2021-10-10 01:48:43,Telecel Cash
TXN-00016371,GC-5475-16,471.61,2025-01-26 06:07:09,AT Money
TXN-00020416,GR-1624-20,247.56,2021-12-16 20:53:40,MTN MoMo
TXN-00023025,ORPHAN-98034-XX,239.07,2025-11-13 02:08:58,AT Money
TXN-00038926,GC-3163-16,265.38,2024-01-06 18:17:32,e-Levy Portal
TXN-00044869,NR-0334-16,499.94,2023-06-03 07:27:29,MTN MoMo
TXN-00018686,GA-4277-21,282.12,2024-02-20 19:53:09,MTN MoMo
TXN-00018624,ER-9091-17,346.48,2024-01-29 07:46:29,Telecel Cash
TXN-00019064,VR-0860-21,131.54,2022-07-25 06:44:43,MTN MoMo
TXN-00032096,ER-2871-15,522.08,2021-07-11 22:08:37,Bank Branch
TXN-00003586,WR-6157-25,555.65,2024-05-31 11:20:36,Telecel Cash
TXN-00039094,ORPHAN-91826-XX,315.08,2020-02-24 08:43:51,e-Levy Portal
TXN-00029522,ORPHAN-94854-XX,229.05,2021-04-27 03:04:20,Telecel Cash
TXN-00028043,GB-7751-21,439.48,2021-08-15 20:07:59,Telecel Cash
TXN-00040397,GS-1176-22,85.5,2025-09-28 06:55:15,Bank Branch
TXN-00044921,GA-5565-22,320.33,2022-03-13 03:13:10,AT Money
TXN-00000217,GS-7679-17,223.83,2022-09-20 21:56:00,Bank Branch
TXN-00010671,WR-8419-21,221.79,2024-07-11 10:33:44,Bank Branch
TXN-00049128,VR-5059-22,220.43,2023-04-10 10:04:12,Bank Branch
TXN-00013813,BA-2403-21,235.77,2020-10-02 10:31:49,AT Money
TXN-00026765,GT-6269-24,463.92,2024-04-09 01:46:35,Bank Branch
TXN-00043369,BA-9743-15,273.37,2024-06-05 19:48:22,Telecel Cash
TXN-00043774,GT-3238-19,356.11,2023-07-17 04:23:36,Bank Branch
TXN-00014998,GN-0284-16,303.05,2022-09-10 18:24:33,Telecel Cash
TXN-00010642,ORPHAN-91735-XX,655.04,2023-03-01 19:51:16,Telecel Cash
TXN-00012811,ORPHAN-98724-XX,0.0,2023-05-25 19:19:31,AT Money
TXN-00042556,UE-5465-16,252.07,2023-10-21 00:16:31,e-Levy Portal
TXN-00027094,GN-2664-23,254.17,2024-03-18 02:16:32,Telecel Cash
TXN-00045286,GS-7951-19,-110.11,2023-04-19 17:02:19,MTN MoMo
TXN-00004176,ORPHAN-93934-XX,324.48,2020-11-11 05:48:03,Bank Branch
TXN-00045859,UW-8493-15,174.91,2023-08-12 12:23:40,Telecel Cash
TXN-00025772,UW-7854-19,190.93,2022-01-08 08:54:25,e-Levy Portal
TXN-00045552,GN-0687-24,160.58,2022-01-05 22:39:11,Bank Branch
TXN-00038408,WR-1608-25,257.73,2022-01-20 02:01:41,e-Levy Portal
TXN-00009211,GA-0332-16,380.04,2022-01-27 20:56:37,Bank Branch
TXN-00047537,GB-4691-24,416.51,2021-01-08 18:52:40,MTN MoMo
TXN-00022706,GA-2749-21,460.98,2025-07-05 17:06:57,MTN MoMo
TXN-00018937,GR-3553-18,453.27,2025-10-18 06:13:22,MTN MoMo
TXN-00023694,NR-6822-24,403.11,2022-08-31 23:30:29,e-Levy Portal
TXN-00014350,WR-6070-24,445.24,2021-11-18 21:49:28,AT Money
TXN-00047088,CR-9288-16,361.2,2021-06-09 16:30:16,MTN MoMo
TXN-00014039,GN-8214-23,563.83,2024-05-08 20:09:40,Bank Branch
TXN-00008993,ER-7238-23,440.61,2025-04-22 16:58:50,Telecel Cash
TXN-00046370,ORPHAN-96462-XX,517.4,2024-11-13 02:15:54,Bank Branch
TXN-00012300,NR-9557-20,342.3,2021-03-12 19:11:14,e-Levy Portal
TXN-00014345,GS-7629-16,226.69,2020-09-16 23:33:21,MTN MoMo
TXN-00018656,VR-2292-18,328.95,2024-09-12 01:11:45,MTN MoMo
TXN-00013443,GC-6246-15,400.41,2025-09-13 08:08:36,MTN MoMo
TXN-00021719,UE-9952-19,119.56,2024-03-08 21:41:30,MTN MoMo
TXN-00016949,GE-6422-23,50.0,2024-11-30 23:01:20,Telecel Cash
TXN-00018967,ER-6463-21,299.75,2021-08-05 21:49:52,MTN MoMo
TXN-00002071,GW-8828-19,192.8,2021-08-09 19:47:43,e-Levy Portal
TXN-00041965,GR-8183-19,164.55,2020-01-13 14:43:29,AT Money
TXN-00003444,GX-7506-22,57.19,2023-09-09 00:49:00,Bank Branch
TXN-00021206,NR-1519-20,709.2,2022-08-03 00:40:21,e-Levy Portal
TXN-00045105,GS-7806-18,58.41,2024-06-29 04:23:41,MTN MoMo
TXN-00004810,GT-3665-19,-350.02,2024-07-10 15:04:04,Telecel Cash
TXN-00005161,ER-7617-22,318.3,2023-01-26 10:00:53,e-Levy Portal
TXN-00031819,GA-7515-16,433.1,2022-04-09 21:55:49,MTN MoMo
TXN-00038397,GR-8238-17,283.42,2022-09-07 12:26:56,AT Money
TXN-00040825,GN-3966-20,0.0,2020-05-27 18:22:02,Bank Branch
TXN-00011351,UW-0912-16,340.2,2024-02-25 14:45:28,MTN MoMo
TXN-00013357,ER-3264-21,206.08,2021-02-24 17:12:49,MTN MoMo
TXN-00024550,UW-6821-16,455.71,2024-09-02 00:13:07,MTN MoMo
TXN-00045030,GB-0846-20,155.08,2024-05-20 01:35:57,MTN MoMo
TXN-00018124,GW-8547-15,509.54,2023-08-06 04:05:53,Telecel Cash
TXN-00015474,ORPHAN-90615-XX,408.61,2021-07-17 14:46:18,MTN MoMo
TXN-00000996,UW-9463-24,477.21,2020-01-14 00:36:58,Bank Branch
TXN-00049907,WR-2782-25,330.67,2022-06-07 12:43:50,Bank Branch
TXN-00008826,VR-7255-18,150.62,2022-07-02 00:28:12,e-Levy Portal
TXN-00027199,BA-3112-25,825.84,2022-01-09 02:54:14,e-Levy Portal
TXN-00036479,ORPHAN-90918-XX,239.27,2022-12-16 06:04:43,AT Money
TXN-00046953,WR-8696-20,166.95,2024-06-20 16:51:29,Bank Branch
TXN-00031982,GT-9945-15,408.82,2023-09-09 19:42:20,AT Money
TXN-00041527,NR-5337-18,491.0,2020-02-12 02:33:28,MTN MoMo
TXN-00036607,UW-0694-17,607.4,2022-08-11 02:57:44,e-Levy Portal
TXN-00038862,GS-8079-24,76.58,2021-12-05 06:24:08,AT Money
TXN-00039514,UE-3614-16,240.19,2020-01-28 04:15:51,MTN MoMo
TXN-00026464,NR-3615-20,322.47,2024-07-20 23:23:50,MTN MoMo
TXN-00011378,UE-1225-21,406.9,2020-08-16 19:09:28,MTN MoMo
TXN-00008552,AS-6711-19,163.86,2022-05-27 21:10:04,e-Levy Portal
TXN-00018886,UE-3794-15,315.01,2024-04-01 10:11:19,MTN MoMo
TXN-00003896,VR-4040-22,329.19,2021-04-05 17:53:29,Bank Branch
TXN-00038202,GE-8219-17,292.05,2020-06-16 21:14:02,MTN MoMo
TXN-00029996,UW-5711-18,267.15,2024-01-24 15:43:11,Bank Branch
TXN-00023548,CR-8832-23,392.21,2023-08-08 14:32:36,MTN MoMo
TXN-00047312,AS-9339-20,365.95,2022-11-28 12:58:28,MTN MoMo
TXN-00046055,AS-9016-15,356.96,2020-10-04 21:03:06,Telecel Cash
TXN-00008873,GR-3453-23,498.49,2023-08-16 09:01:25,MTN MoMo
TXN-00006735,CR-1124-18,411.73,2023-06-06 12:43:20,MTN MoMo
TXN-00010100,UE-4691-17,441.72,2021-12-04 01:35:27,Telecel Cash
TXN-00044469,GR-7178-19,319.24,2024-08-07 15:36:20,AT Money
TXN-00021617,ORPHAN-96212-XX,549.95,2020-02-05 03:59:45,MTN MoMo
TXN-00008882,GE-8125-22,210.98,2023-06-18 11:05:58,MTN MoMo
TXN-00022035,GE-7780-20,174.22,2020-01-11 15:26:04,Bank Branch
TXN-00022206,GS-5037-25,344.92,2024-12-08 17:57:07,MTN MoMo
TXN-00018489,ER-0001-21,50.0,2024-08-29 05:42:30,MTN MoMo
TXN-00031297,WR-0296-15,-388.54,2023-12-08 15:40:44,e-Levy Portal
TXN-00041495,GS-6609-18,209.11,2023-03-16 04:40:01,MTN MoMo
TXN-00038675,GT-3695-22,582.37,2022-03-03 14:17:15,MTN MoMo
TXN-00007867,GC-0432-23,406.11,2022-05-02 10:51:45,MTN MoMo
TXN-00011430,CR-0009-20,249.69,2023-12-23 20:26:59,AT Money
TXN-00031255,GB-8784-16,408.02,2023-08-16 20:45:42,MTN MoMo
TXN-00034609,ORPHAN-93083-XX,271.27,2020-02-10 10:35:28,MTN MoMo
TXN-00031062,WR-3646-24,116.0,2020-12-02 23:35:15,MTN MoMo
TXN-00048779,GR-9400-16,293.68,2024-02-23 15:32:01,Bank Branch
TXN-00002655,BA-5964-18,569.85,2025-07-07 11:19:21,Bank Branch
TXN-00031364,GS-3450-25,267.32,2020-09-07 01:53:23,Telecel Cash
TXN-00002128,GE-7693-17,326.33,2022-01-06 04:56:03,Bank Branch
TXN-00016626,GS-1719-18,342.48,2023-06-12 03:24:30,Bank Branch
TXN-00001563,GN-9869-19,212.53,2020-06-30 12:12:07,MTN MoMo
TXN-00046915,GC-0100-25,190.63,2024-08-06 15:29:27,MTN MoMo
TXN-00022328,WR-4413-18,185.65,2022-12-16 16:58:50,Bank Branch
TXN-00037280,GW-7989-23,292.35,2022-01-10 22:45:56,Bank Branch
TXN-00027273,ORPHAN-95935-XX,306.84,2022-01-06 05:35:12,e-Levy Portal
TXN-00025990,GR-5058-24,360.86,2025-11-05 12:09:13,e-Levy Portal
TXN-00046111,WR-5496-19,492.7,2021-12-05 12:02:57,AT Money
TXN-00041347,GT-9682-20,390.7,2025-02-19 08:10:55,Bank Branch
TXN-00021817,NR-7083-20,408.9,2020-09-29 10:20:35,Telecel Cash
TXN-00006089,NR-7648-16,286.56,2024-01-10 20:31:03,Telecel Cash
TXN-00020294,CR-4234-20,591.51,2023-11-13 15:23:54,Telecel Cash
TXN-00010189,GC-2800-18,542.2,2020-07-28 06:58:14,e-Levy Portal
TXN-00032463,ORPHAN-95621-XX,221.03,2020-01-01 21:19:12,Bank Branch
TXN-00042375,CR-0440-16,164.6,2022-06-25 22:23:28,MTN MoMo
TXN-00030509,GR-1731-18,155.85,2020-11-10 13:34:55,MTN MoMo
TXN-00001882,GS-8630-17,489.73,2020-10-26 09:58:32,AT Money
TXN-00034324,GE-0444-19,429.97,2021-06-18 21:20:14,Bank Branch
TXN-00039482,GN-4298-21,570.8,2024-07-02 14:16:39,MTN MoMo
TXN-00006746,GC-9832-15,232.71,2025-04-18 12:58:09,Telecel Cash
TXN-00004385,ER-9376-22,325.01,2021-05-26 05:08:13,AT Money
TXN-00009567,VR-3600-20,385.68,2021-03-21 11:53:05,e-Levy Portal
